timestamp,P_ren_grid,price,load,gen_ren,P_ch,P_dis,SoC,P_grid_buy,P_grid_sell,P_ren_load,P_ren_ch
2024-09-10T08:00:00.000,0,167.67,0,0,0,0,5,0,0,0,0
2024-09-10T09:00:00.000,0,151.2,0,0,0,0,5,0,0,0,0
2024-09-10T10:00:00.000,0,117.92,0,0,0,0,5,0,0,0,0
2024-09-10T11:00:00.000,0,86.87,0,0,0,0,5,0,0,0,0
2024-09-10T12:00:00.000,0,87.09,0,0,0,0,5,0,0,0,0
2024-09-10T13:00:00.000,0,79.93,0,0,0,0,5,0,0,0,0
2024-09-10T14:00:00.000,0,70.73,0,0,0,0,5,0,0,0,0
2024-09-10T15:00:00.000,0,87.56,0,0,0,0,5,0,0,0,0
2024-09-10T16:00:00.000,0,104.02,0,0,0,0,5,0,0,0,0
2024-09-10T17:00:00.000,0,119.76,0,0,0,0,5,0,0,0,0
2024-09-10T18:00:00.000,0,163.63,0,0,0,0,5,0,0,0,0
2024-09-10T19:00:00.000,0,223.17,0,0,0,0,5,0,0,0,0
2024-09-10T20:00:00.000,0,332.98,0,0,0,0,5,0,0,0,0
2024-09-10T21:00:00.000,0,250.08,0,0,0,0,5,0,0,0,0
2024-09-10T22:00:00.000,0,139.48,0,0,0,0,5,0,0,0,0
2024-09-10T23:00:00.000,0,117.09,0,0,0,0,5,0,0,0,0
2024-09-11T00:00:00.000,0,86.44,0,0,0,0,5,0,0,0,0
2024-09-11T01:00:00.000,0,32.91,0,0,0,0,5,0,0,0,0
2024-09-11T02:00:00.000,0,33.24,0,0,0,0,5,0,0,0,0
2024-09-11T03:00:00.000,0,25.77,0,0,0,0,5,0,0,0,0
2024-09-11T04:00:00.000,0,27.85,0,0,0,0,5,0,0,0,0
2024-09-11T05:00:00.000,0,32.93,0,0,0,0,5,0,0,0,0
2024-09-11T06:00:00.000,0,60.65,0,0,0,0,5,0,0,0,0
2024-09-11T07:00:00.000,0,120.01,0,0,0,0,5,0,0,0,0
2024-09-11T08:00:00.000,0,141.96,0,0,0,0,5,0,0,0,0
2024-09-11T09:00:00.000,0,106.66,0,0,0,0,5,0,0,0,0
2024-09-11T10:00:00.000,0,95.3,0,0,0,0,5,0,0,0,0
2024-09-11T11:00:00.000,0,74,0,0,0,0,5,0,0,0,0
2024-09-11T12:00:00.000,0,65,0,0,0,0,5,0,0,0,0
2024-09-11T13:00:00.000,0,60.05,0,0,0,0,5,0,0,0,0
2024-09-11T14:00:00.000,0,58.92,0,0,0,0,5,0,0,0,0
2024-09-11T15:00:00.000,0,56.87,0,0,0,0,5,0,0,0,0
2024-09-11T16:00:00.000,0,61.05,0,0,0,0,5,0,0,0,0
2024-09-11T17:00:00.000,0,88.87,0,0,0,0,5,0,0,0,0
2024-09-11T18:00:00.000,0,128.87,0,0,0,0,5,0,0,0,0
2024-09-11T19:00:00.000,0,153.42,0,0,0,0,5,0,0,0,0
2024-09-11T20:00:00.000,0,250.08,0,0,0,0,5,0,0,0,0
2024-09-11T21:00:00.000,0,160.07,0,0,0,0,5,0,0,0,0
2024-09-11T22:00:00.000,0,29.56,0,0,0,0,5,0,0,0,0
2024-09-11T23:00:00.000,0,6,0,0,0,0,5,0,0,0,0
2024-09-12T00:00:00.000,0,5.04,0,0,0,0,5,0,0,0,0
2024-09-12T01:00:00.000,0,45.01,0,0,0,0,5,0,0,0,0
2024-09-12T02:00:00.000,0,45.04,0,0,0,0,5,0,0,0,0
2024-09-12T03:00:00.000,0,35.06,0,0,0,0,5,0,0,0,0
2024-09-12T04:00:00.000,0,20.09,0,0,0,0,5,0,0,0,0
2024-09-12T05:00:00.000,0,88.65,0,0,0,0,5,0,0,0,0
2024-09-12T06:00:00.000,0,99.25,0,0,0,0,5,0,0,0,0
2024-09-12T07:00:00.000,0,163.12,0,0,0,0,5,0,0,0,0
2024-09-12T08:00:00.000,0,163.17,0,0,0,0,5,0,0,0,0
2024-09-12T09:00:00.000,0,144.71,0,0,0,0,5,0,0,0,0
2024-09-12T10:00:00.000,0,107.11,0,0,0,0,5,0,0,0,0
2024-09-12T11:00:00.000,0,90.06,0,0,0,0,5,0,0,0,0
2024-09-12T12:00:00.000,0,98.31,0,0,0,0,5,0,0,0,0
2024-09-12T13:00:00.000,0,100.96,0,0,0,0,5,0,0,0,0
2024-09-12T14:00:00.000,0,113.1,0,0,0,0,5,0,0,0,0
2024-09-12T15:00:00.000,0,142.93,0,0,0,0,5,0,0,0,0
2024-09-12T16:00:00.000,0,135.04,0,0,0,0,5,0,0,0,0
2024-09-12T17:00:00.000,0,149.97,0,0,0,0,5,0,0,0,0
2024-09-12T18:00:00.000,0,250.04,0,0,0,0,5,0,0,0,0
2024-09-12T19:00:00.000,0,250.09,0,0,0,0,5,0,0,0,0
2024-09-12T20:00:00.000,0,393.29,0,0,0,0,5,0,0,0,0
2024-09-12T21:00:00.000,0,250.91,0,0,0,0,5,0,0,0,0
2024-09-12T22:00:00.000,0,125.45,0,0,0,0,5,0,0,0,0
2024-09-12T23:00:00.000,0,104.42,0,0,0,0,5,0,0,0,0
2024-09-13T00:00:00.000,0,100.06,0,0,0,0,5,0,0,0,0
2024-09-13T01:00:00.000,0,153.35,0,0,0,0,5,0,0,0,0
2024-09-13T02:00:00.000,0,131.17,0,0,0,0,5,0,0,0,0
2024-09-13T03:00:00.000,0,130,0,0,0,0,5,0,0,0,0
2024-09-13T04:00:00.000,0,137.26,0,0,0,0,5,0,0,0,0
2024-09-13T05:00:00.000,0,120.02,0,0,0,0,5,0,0,0,0
2024-09-13T06:00:00.000,0,153.02,0,0,0,0,5,0,0,0,0
2024-09-13T07:00:00.000,0,250,0,0,0,0,5,0,0,0,0
2024-09-13T08:00:00.000,0,357.12,0,0,0,0,5,0,0,0,0
2024-09-13T09:00:00.000,0,348.73,0,0,0,0,5,0,0,0,0
2024-09-13T10:00:00.000,0,250.07,0,0,0,0,5,0,0,0,0
2024-09-13T11:00:00.000,0,321.47,0,0,0,0,5,0,0,0,0
2024-09-13T12:00:00.000,0,288.98,0,0,0,0,5,0,0,0,0
2024-09-13T13:00:00.000,0,250,0,0,0,0,5,0,0,0,0
2024-09-13T14:00:00.000,0,249.92,0,0,0,0,5,0,0,0,0
2024-09-13T15:00:00.000,0,220.07,0,0,0,0,5,0,0,0,0
2024-09-13T16:00:00.000,0,220.08,0,0,0,0,5,0,0,0,0
2024-09-13T17:00:00.000,0,190,0,0,0,0,5,0,0,0,0
2024-09-13T18:00:00.000,0,185.39,0,0,0,0,5,0,0,0,0
2024-09-13T19:00:00.000,0,220.01,0,0,0,0,5,0,0,0,0
2024-09-13T20:00:00.000,0,189.6,0,0,0,0,5,0,0,0,0
2024-09-13T21:00:00.000,0,109.45,0,0,0,0,5,0,0,0,0
2024-09-13T22:00:00.000,0,99.91,0,0,0,0,5,0,0,0,0
2024-09-13T23:00:00.000,0,79.25,0,0,0,0,5,0,0,0,0
2024-09-14T00:00:00.000,0,60.72,0,0,0,0,5,0,0,0,0
2024-09-14T01:00:00.000,0,63.8,0,0,0,0,5,0,0,0,0
2024-09-14T02:00:00.000,0,52.67,0,0,0,0,5,0,0,0,0
2024-09-14T03:00:00.000,0,47.91,0,0,0,0,5,0,0,0,0
2024-09-14T04:00:00.000,0,46.72,0,0,0,0,5,0,0,0,0
2024-09-14T05:00:00.000,0,48.13,0,0,0,0,5,0,0,0,0
2024-09-14T06:00:00.000,0,45.5,0,0,0,0,5,0,0,0,0
2024-09-14T07:00:00.000,0,56.21,0,0,0,0,5,0,0,0,0
2024-09-14T08:00:00.000,0,66.99,0,0,0,0,5,0,0,0,0
2024-09-14T09:00:00.000,0,77.43,0,0,0,0,5,0,0,0,0
2024-09-14T10:00:00.000,0,67.78,0,0,0,0,5,0,0,0,0
2024-09-14T11:00:00.000,0,56.41,0,0,0,0,5,0,0,0,0
2024-09-14T12:00:00.000,0,62.73,0,0,0,0,5,0,0,0,0
2024-09-14T13:00:00.000,0,61.75,0,0,0,0,5,0,0,0,0
2024-09-14T14:00:00.000,0,59.53,0,0,0,0,5,0,0,0,0
2024-09-14T15:00:00.000,0,62.43,0,0,0,0,5,0,0,0,0
2024-09-14T16:00:00.000,0,58.72,0,0,0,0,5,0,0,0,0
2024-09-14T17:00:00.000,0,78.27,0,0,0,0,5,0,0,0,0
2024-09-14T18:00:00.000,0,76.28,0,0,0,0,5,0,0,0,0
2024-09-14T19:00:00.000,0,88.14,0,0,0,0,5,0,0,0,0
2024-09-14T20:00:00.000,0,124.64,0,0,0,0,5,0,0,0,0
2024-09-14T21:00:00.000,0,110.64,0,0,0,0,5,0,0,0,0
2024-09-14T22:00:00.000,0,78.45,0,0,0,0,5,0,0,0,0
2024-09-14T23:00:00.000,0,87.59,0,0,0,0,5,0,0,0,0
2024-09-15T00:00:00.000,0,19.6,0,0,0,0,5,0,0,0,0
2024-09-15T01:00:00.000,0,48.41,0,0,0,0,5,0,0,0,0
2024-09-15T02:00:00.000,0,42.96,0,0,0,0,5,0,0,0,0
2024-09-15T03:00:00.000,0,57.35,0,0,0,0,5,0,0,0,0
2024-09-15T04:00:00.000,0,45.88,0,0,0,0,5,0,0,0,0
2024-09-15T05:00:00.000,0,40.73,0,0,0,0,5,0,0,0,0
2024-09-15T06:00:00.000,0,49.19,0,0,0,0,5,0,0,0,0
2024-09-15T07:00:00.000,0,56.03,0,0,0,0,5,0,0,0,0
2024-09-15T08:00:00.000,0,83.48,0,0,0,0,5,0,0,0,0
2024-09-15T09:00:00.000,0,75.3,0,0,0,0,5,0,0,0,0
2024-09-15T10:00:00.000,0,59.68,0,0,0,0,5,0,0,0,0
2024-09-15T11:00:00.000,0,79.99,0,0,0,0,5,0,0,0,0
2024-09-15T12:00:00.000,0,75.07,0,0,0,0,5,0,0,0,0
2024-09-15T13:00:00.000,0,75.08,0,0,0,0,5,0,0,0,0
2024-09-15T14:00:00.000,0,75,0,0,0,0,5,0,0,0,0
2024-09-15T15:00:00.000,0,75.03,0,0,0,0,5,0,0,0,0
2024-09-15T16:00:00.000,0,94.99,0,0,0,0,5,0,0,0,0
2024-09-15T17:00:00.000,0,140.09,0,0,0,0,5,0,0,0,0
2024-09-15T18:00:00.000,0,176.32,0,0,0,0,5,0,0,0,0
2024-09-15T19:00:00.000,0,190,0,0,0,0,5,0,0,0,0
2024-09-15T20:00:00.000,0,200.09,0,0,0,0,5,0,0,0,0
2024-09-15T21:00:00.000,0,171.85,0,0,0,0,5,0,0,0,0
2024-09-15T22:00:00.000,0,126.9,0,0,0,0,5,0,0,0,0
2024-09-15T23:00:00.000,0,107.12,0,0,0,0,5,0,0,0,0
2024-09-16T00:00:00.000,0,92.35,0,0,0,0,5,0,0,0,0
2024-09-16T01:00:00.000,0,70.42,0,0,0,0,5,0,0,0,0
2024-09-16T02:00:00.000,0,60.03,0,0,0,0,5,0,0,0,0
